gene	source	is_derived	is_external	k119ub_ctrl_signal	k119ub_log2fc	k119ub_decile
Arsg	external	FALSE	TRUE	1.13417	0.464268	6
Artn	both	TRUE	TRUE	5.962723	-0.048645	10
Arx	both	TRUE	TRUE	8.09377	0.148577	10
Asap1	both	TRUE	TRUE	2.550715	0.352888	9
Asb2	both	TRUE	TRUE	2.402758	0.058286	9
Ascl1	both	TRUE	TRUE	3.991601	0.298269	10
Ascl2	both	TRUE	TRUE	2.503089	-0.577605	9
Asic1	both	TRUE	TRUE	1.218896	-0.105663	7
Asic2	both	TRUE	TRUE	1.087419	0.023862	6
Asic3	both	TRUE	TRUE	3.809236	0.279015	10
Aspa	both	TRUE	TRUE	0.398698	-0.382235	1
Aspm	both	TRUE	TRUE	1.189903	0.109586	7
Astn1	both	TRUE	TRUE	2.159371	0.278917	9
Astn2	both	TRUE	TRUE	1.141438	0.048056	6
Atad1	both	TRUE	TRUE	0.520988	0.496117	2
Atat1	both	TRUE	TRUE	0.380657	0.084141	1
Atcay	both	TRUE	TRUE	0.491909	-0.382654	2
Atf1	both	TRUE	TRUE	0.363826	-0.311243	1
Atf2	both	TRUE	TRUE	0.411503	-0.110727	1
Atf4	both	TRUE	TRUE	1.363147	-0.406492	7
Atf5	both	TRUE	TRUE	0.892074	0.002933	5
Atf6	both	TRUE	TRUE	0.777535	0.238704	4
Atg16l1	both	TRUE	TRUE	0.629791	-0.359179	3
Atg5	external	FALSE	TRUE	1.127663	0.221378	6
Atg7	both	TRUE	TRUE	1.063191	-0.264895	6
Atic	external	FALSE	TRUE	1.365922	-0.066576	7
Atl1	both	TRUE	TRUE	0.680503	0.044531	3
Atm	both	TRUE	TRUE	0.351215	-0.17234	1
Atn1	both	TRUE	TRUE	1.223807	-0.088767	7
Atoh1	both	TRUE	TRUE	18.597905	-0.072773	10
Atoh7	both	TRUE	TRUE	2.326209	0.563688	9
Atoh8	both	TRUE	TRUE	4.728193	0.45853	10
Atp1a2	both	TRUE	TRUE	2.32297	0.318106	9
Atp1a3	both	TRUE	TRUE	0.481167	-0.408664	2
Atp1b2	both	TRUE	TRUE	1.6379	-0.338884	8
Atp2a1	both	TRUE	TRUE	0.762965	-0.409296	4
Atp2a2	both	TRUE	TRUE	0.513397	-0.374292	2
Atp2b2	both	TRUE	TRUE	1.448857	-0.123361	8
Atp2b4	external	FALSE	TRUE	1.962999	-0.052583	9
Atp6ap1	both	TRUE	TRUE	0.635914	-0.031664	3
Atp6ap2	both	TRUE	TRUE	0.46132	-0.222445	2
Atp6v0a1	both	TRUE	TRUE	0.710366	-0.308148	4
Atp6v0a4	both	TRUE	TRUE	1.132736	-0.05366	6
Atp6v0c	external	FALSE	TRUE	0.898959	-0.278093	5
Atp6v0d1	both	TRUE	TRUE	1.613296	-0.207223	8
Atp6v0e2	both	TRUE	TRUE	1.150636	0.408063	6
Atp6v1a	both	TRUE	TRUE	0.606315	0.163002	3
Atp6v1b1	both	TRUE	TRUE	2.148294	-0.263101	9
Atp6v1b2	both	TRUE	TRUE	0.687743	-0.12939	3
Atp6v1c1	both	TRUE	TRUE	0.666326	-0.229325	3
Atp6v1d	both	TRUE	TRUE	0.378253	-0.111607	1
Atp6v1e1	both	TRUE	TRUE	0.355148	-0.254215	1
Atp6v1f	both	TRUE	TRUE	1.305516	0.437416	7
Atp6v1g1	both	TRUE	TRUE	1.739749	0.240136	8
Atp6v1g2	both	TRUE	TRUE	0.838126	0.087322	5
Atp6v1g3	external	FALSE	TRUE	2.090237	-0.60018	9
Atp6v1h	both	TRUE	TRUE	0.375918	-0.084945	1
Atp7a	both	TRUE	TRUE	0.446967	-0.187505	1
Atp8a1	both	TRUE	TRUE	1.483557	0.09603	8
Atp8a2	both	TRUE	TRUE	1.316731	0.004063	7
Atp8b1	both	TRUE	TRUE	1.196213	-0.100983	7
Atp9a	both	TRUE	TRUE	0.833574	-0.089564	5
Atpsckmt	both	TRUE	TRUE	1.366561	0.195578	7
Atrn	both	TRUE	TRUE	0.419391	-0.202343	1
Atrx	both	TRUE	TRUE	NA	NA	NA
Atxn1	both	TRUE	TRUE	1.235056	-0.194605	7
Atxn10	both	TRUE	TRUE	0.849998	-0.04397	5
Atxn1l	both	TRUE	TRUE	0.827273	-0.009796	5
Atxn2	both	TRUE	TRUE	0.520065	-0.388256	2
AU040320	both	TRUE	TRUE	0.5865	-0.147746	3
Aurka	both	TRUE	TRUE	0.734374	0.30229	4
Auts2	both	TRUE	TRUE	1.462406	-0.217145	8
Avil	both	TRUE	TRUE	1.21124	-0.260091	7
Avp	both	TRUE	TRUE	8.861889	0.022054	10
Avpr1a	both	TRUE	TRUE	2.174744	-0.754479	9
Avpr2	external	FALSE	TRUE	1.852193	0.609265	9
Axin1	both	TRUE	TRUE	0.415145	-0.374409	1
Axl	both	TRUE	TRUE	0.635144	-0.143054	3
Azgp1	both	TRUE	TRUE	NA	NA	NA
Azi2	both	TRUE	TRUE	0.641687	-0.085194	3
B2m	both	TRUE	TRUE	1.826632	0.310289	8
B3gat1	both	TRUE	TRUE	2.612814	0.015627	10
B3glct	external	FALSE	TRUE	0.469965	-0.124214	2
B3gnt2	both	TRUE	TRUE	2.76747	-0.01643	10
B3gnt5	both	TRUE	TRUE	1.779912	-0.128671	8
B4galnt1	both	TRUE	TRUE	2.864307	-0.114088	10
B4galt2	both	TRUE	TRUE	1.64346	-0.155192	8
B4galt5	both	TRUE	TRUE	1.655425	-0.032324	8
B4galt6	both	TRUE	TRUE	1.591564	0.513954	8
B4gat1	both	TRUE	TRUE	0.909499	-0.066796	5
Bace1	both	TRUE	TRUE	0.882684	-0.357146	5
Bag1	both	TRUE	TRUE	0.87936	0.417975	5
Bag3	external	FALSE	TRUE	1.253745	0.410764	7
Bag5	both	TRUE	TRUE	0.745833	-0.00206	4
Bag6	both	TRUE	TRUE	0.511749	-0.339655	2
Bahcc1	both	TRUE	TRUE	3.480444	-0.234099	10
Baiap2	both	TRUE	TRUE	1.775867	-0.477432	8
Baiap3	both	TRUE	TRUE	1.488003	-0.315788	8
Bap1	both	TRUE	TRUE	0.72358	-0.726662	4
Barhl1	both	TRUE	TRUE	4.165699	-0.113356	10
Barhl2	both	TRUE	TRUE	3.70263	0.44585	10
Batf	both	TRUE	TRUE	1.81462	-0.047465	8
Batf2	both	TRUE	TRUE	0.543628	-0.004915	2
Batf3	both	TRUE	TRUE	2.23531	-0.012735	9
Bax	both	TRUE	TRUE	0.412637	0.105883	1
Bbc3	both	TRUE	TRUE	1.656386	0.05334	8
Bbof1	external	FALSE	TRUE	0.463522	0.437381	2
Bbs1	both	TRUE	TRUE	0.509497	-0.275053	2
Bbs10	external	FALSE	TRUE	2.376889	0.961174	9
Bbs2	both	TRUE	TRUE	0.676049	0.16941	3
Bbs4	both	TRUE	TRUE	0.378367	-0.263013	1
Bbs7	both	TRUE	TRUE	0.510945	0.344996	2
Bcan	both	TRUE	TRUE	4.656939	-0.095343	10
Bcas1	both	TRUE	TRUE	0.959043	-0.126904	5
Bccip	both	TRUE	TRUE	0.551324	-0.186853	2
Bche	both	TRUE	TRUE	0.437422	-0.307522	1
Bcl10	both	TRUE	TRUE	1.135041	0.747624	6
Bcl11a	both	TRUE	TRUE	2.365525	0.355616	9
Bcl11b	both	TRUE	TRUE	3.824562	-0.083598	10
Bcl2	both	TRUE	TRUE	1.969464	0.29437	9
Bcl2l1	both	TRUE	TRUE	1.392216	0.376835	7
Bcl2l11	both	TRUE	TRUE	3.892826	0.066091	10
Bcl3	both	TRUE	TRUE	1.412071	-0.181669	7
Bcl6	both	TRUE	TRUE	2.053533	0.414617	9
Bcl7a	external	FALSE	TRUE	0.933877	-0.190465	5
Bcr	both	TRUE	TRUE	1.900055	0.027928	9
Bdnf	both	TRUE	TRUE	2.852401	0.679255	10
Becn1	both	TRUE	TRUE	0.311884	-0.129465	1
Begain	both	TRUE	TRUE	5.9084	-0.386025	10
Bend6	both	TRUE	TRUE	0.729245	-0.020064	4
Best1	both	TRUE	TRUE	1.083571	0.139559	6
Best2	both	TRUE	TRUE	2.283725	0.001152	9
Bex1	both	TRUE	TRUE	1.972398	0.0997	9
Bfsp2	both	TRUE	TRUE	1.127425	-0.107108	6
Bglap	both	TRUE	TRUE	2.663828	0.006385	10
Bglap2	both	TRUE	TRUE	2.767409	-0.346811	10
Bhlha15	both	TRUE	TRUE	1.687507	-0.3474	8
Bhlhb9	both	TRUE	TRUE	0.409321	-0.17994	1
Bhlhe22	both	TRUE	TRUE	5.582218	0.35092	10
Bhlhe23	both	TRUE	TRUE	4.367143	-0.485654	10
Bhlhe40	both	TRUE	TRUE	4.493284	0.523537	10
Bhlhe41	both	TRUE	TRUE	3.706421	0.552601	10
Bicdl1	both	TRUE	TRUE	0.868592	-0.227511	5
Bin1	both	TRUE	TRUE	1.701364	-0.069984	8
Birc5	both	TRUE	TRUE	0.344563	0.291469	1
Bloc1s1	both	TRUE	TRUE	3.276055	0.957691	10
Bloc1s2	both	TRUE	TRUE	0.483223	0.412976	2
Bloc1s3	both	TRUE	TRUE	1.040632	0.564814	6
Bloc1s4	both	TRUE	TRUE	0.881958	1.408516	5
Bloc1s5	both	TRUE	TRUE	0.81783	0.158016	4
Bloc1s6	both	TRUE	TRUE	0.684701	0.325434	3
Bltp1	both	TRUE	TRUE	0.40756	-0.219699	1
Bmal1	both	TRUE	TRUE	2.161968	0.010986	9
Bmerb1	both	TRUE	TRUE	0.559695	-0.049203	2
Bmi1	both	TRUE	TRUE	3.362411	0.709165	10
Bmp2	both	TRUE	TRUE	4.628964	0.062299	10
Bmp4	both	TRUE	TRUE	10.048625	0.112948	10
Bmp5	both	TRUE	TRUE	0.600471	0.123181	3
Bmp6	both	TRUE	TRUE	1.210286	-0.186228	7
Bmp7	both	TRUE	TRUE	1.540178	-0.265472	8
Bmpr1a	both	TRUE	TRUE	0.547509	0.075108	2
Bmpr1b	both	TRUE	TRUE	1.325452	-0.061887	7
Bmpr2	both	TRUE	TRUE	0.519641	-0.040239	2
Bnip2	both	TRUE	TRUE	0.425915	-0.239031	1
Bnip3	both	TRUE	TRUE	0.488813	0.143609	2
Boc	both	TRUE	TRUE	2.10192	0.429609	9
Bok	both	TRUE	TRUE	2.846805	-0.159631	10
Borcs5	both	TRUE	TRUE	1.131719	0.064559	6
Borcs7	external	FALSE	TRUE	0.470245	0.068907	2
Bpgm	both	TRUE	TRUE	1.524944	0.22796	8
Bpifb9a	both	TRUE	TRUE	1.32867	-0.422249	7
Bptf	both	TRUE	TRUE	0.528571	-0.35069	2
