gene_name	mch_logfc	k119ub_fold	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_direction
Syne2	-0.195319951688085	0.778383619	0.00541225	0.989250443	0.754696892	6	0	FALSE	No peak
Synpo2	-0.158557535271072	0.476667845	0.035280003	0.89690154	0.89690154	1	0	FALSE	No peak
Syt14	-0.213119507326143	0.465854619	0.012004627	0.972221597	0.972221597	1	0	FALSE	No peak
Syt16	-0.167602989182505	0.252279664	-0.104852772	0.62740812	0.62740812	2	0	FALSE	No peak
Taf3	-0.235194033354116	1.003911161	-0.015950227	0.962060038	0.888174072	2	0	FALSE	No peak
Taf4b	-0.236550917303255	0.317936854	-0.031721291	0.911643936	0.911643936	1	0	FALSE	No peak
Tagln3	-0.414562903124489	0.549370168	-0.044845747	0.862191501	0.862191501	1	0	FALSE	No peak
Tanc1	-0.141211668451462	0.274301105	-0.027543647	0.924145351	1.02e-15	11	1	TRUE	MeCP2 Down
Tango2	-0.310822146231433	0.284737058	-0.067742421	0.773427852	0.773427852	2	0	FALSE	No peak
Tarbp1	-0.221764854866351	0.783297658	0.101945089	0.640318191	0.00097251	3	1	TRUE	MeCP2 Up
Tasp1	-0.315996767288733	0.74054317	-0.028612627	0.922330911	0.922330911	1	0	FALSE	No peak
Tbc1d14	-0.331941871228899	0.820005445	-0.033498207	0.903471774	0.412129876	2	0	FALSE	No peak
Tbc1d15	-0.241796438942601	1.339890235	NA	NA	NA	NA	NA	NA	No peak
Tbc1d2	-0.334063546116588	0.34864994	-0.078200553	0.718156589	0.34173836	3	0	FALSE	No peak
Tbc1d2b	-0.286504680262738	1.584643998	-0.070980174	0.758497679	6.71e-23	4	3	TRUE	MeCP2 Down
Tbca	-0.471940181964587	0.802972909	-0.005880159	0.988375374	0.901108231	2	0	FALSE	No peak
Tbck	-0.259268765165108	0.54125418	NA	NA	NA	NA	NA	NA	No peak
Tbl1xr1	-0.187824368905001	0.543805646	0.32606182	0.091031049	3.14e-06	11	5	TRUE	MeCP2 Up
Tbpl1	-0.305615380054759	0.562924959	-0.0462055	0.857619997	0.857619997	1	0	FALSE	No peak
Tcaf1	-0.289259516285768	0.369720975	-0.070429589	0.76240065	0.76240065	2	0	FALSE	No peak
Tdp1	-0.24418432168039	0.516138521	-0.05761487	0.807753305	0.807753305	2	0	FALSE	No peak
Tec	-0.114809725573631	0.239383825	0.115643415	0.582493785	0.582493785	4	0	FALSE	No peak
Tecrl	-0.226655871213184	0.389433661	NA	NA	NA	NA	NA	NA	No peak
Tenm2	-0.307624192345654	0.399278798	-0.172938723	0.439465341	2.32e-10	30	5	TRUE	MeCP2 Down
Tent4a	-0.284586691786288	0.683307166	NA	NA	NA	NA	NA	NA	No peak
Tent5d	-0.278559698403551	0.337205983	NA	NA	NA	NA	NA	NA	No peak
Tesk2	-0.297796252001727	0.466344771	-0.142959283	0.480094947	0.480094947	1	0	FALSE	No peak
Tet2	-0.277716175702527	0.501882667	-0.029119979	0.918911116	0.071100087	4	0	FALSE	No peak
Tex10	-0.343685605962605	0.873972092	NA	NA	NA	NA	NA	NA	No peak
Tex264	-0.522808201394938	0.392972997	NA	NA	NA	NA	NA	NA	No peak
Tfdp2	-0.204861670147696	0.660754223	-0.047559439	0.855075313	0.855075313	1	0	FALSE	No peak
Tgfbrap1	-0.370018085355392	1.399153928	0.042612773	0.870559015	0.658558937	2	0	FALSE	No peak
Thada	-0.110194958130719	0.634968215	1.736636846	5.5e-09	5.5e-09	3	1	TRUE	MeCP2 Up
Tiam1	-0.112740243608346	0.26011395	-0.01272281	0.969825789	3.52e-07	15	1	TRUE	MeCP2 Down
Ticam2	-0.311026443929882	0.562641621	NA	NA	NA	NA	NA	NA	No peak
Tirap	-0.331256236589895	0.612413748	-0.120555914	0.573377422	0.573377422	1	0	FALSE	No peak
Tjp2	-0.127782737981098	0.626266182	-0.045968936	0.858099132	0.858099132	2	0	FALSE	No peak
Tle4	-0.120447926207045	0.729594261	0.180129904	0.453306019	0.014395568	10	1	TRUE	MeCP2 Up
Tm2d1	-0.371246274541538	0.890658189	-0.027683492	0.925395798	0.925395798	1	0	FALSE	No peak
Tmem131	-0.110499815757552	0.765096101	-0.014581187	0.965107742	0.965107742	1	0	FALSE	No peak
Tmem135	-0.175283723091021	0.379276827	-0.039946922	0.880809397	0.002569945	2	1	TRUE	MeCP2 Down
Tmem14a	-0.403669219802628	0.87422327	0.00794763	0.98328116	0.881615117	2	0	FALSE	No peak
Tmem154	-0.246245111380526	0.273809751	0.09683442	0.633648607	0.231008471	5	0	FALSE	No peak
Tmem161b	-0.220762924627226	1.163874891	1.383560934	2.52e-06	6.41e-07	7	5	TRUE	MeCP2 Up
Tmem163	-0.186451925891803	0.220263063	-0.03409548	0.901919754	0.024156394	3	1	TRUE	MeCP2 Down
Tmem165	-0.318902825851227	0.714098914	NA	NA	NA	NA	NA	NA	No peak
Tmem232	-0.145400346438567	0.399890575	NA	NA	NA	NA	NA	NA	No peak
Tmem243	-0.212886520162817	0.380865728	-0.026718224	0.926699199	0.926699199	1	0	FALSE	No peak
Tmem245	-0.277526510588735	0.39346644	0.013086438	0.969027668	0.969027668	1	0	FALSE	No peak
Tmem38b	-0.327253975388758	1.055813444	NA	NA	NA	NA	NA	NA	No peak
Tmem41a	-0.766449356989525	0.342450577	NA	NA	NA	NA	NA	NA	No peak
Tmprss6	-0.242007390150749	0.456831522	0.045878763	0.862014704	0.862014704	2	0	FALSE	No peak
Tmtc1	-0.188466829140699	0.308407992	-0.026615037	0.926555124	0.926555124	1	0	FALSE	No peak
Tmx4	-0.299654046138889	0.7391309	-0.111335175	0.580381063	0.580381063	2	0	FALSE	No peak
Tnfaip8	-0.153088647068785	0.333337238	-0.043700067	0.866267687	0.306530138	15	0	FALSE	No peak
Tnpo1	-0.151207142437315	0.819744094	-0.111290715	0.583060785	0.583060785	1	0	FALSE	No peak
Tpp2	-0.208731873955551	0.472589103	0.034458113	0.901143009	9.4e-09	4	2	TRUE	MeCP2 Up
Tram2	-0.172381512754494	0.38903123	-0.17983311	0.339577627	0.339577627	1	0	FALSE	No peak
Trhde	-0.0991099949126283	0.447834765	1.950016564	2.97e-09	9.52e-18	4	4	TRUE	MeCP2 Up
Trim24	-0.307567724004232	0.430557345	-0.100566486	0.645376841	0.645376841	1	0	FALSE	No peak
