ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	ranking	is_significant	is_neuronal	n_genes_ranked
GO:1903578	regulation of ATP metabolic process	27	0.873401329291761	1.30352294026697	0.012653807936763	0.773543501717301	0.76825943022703	1665	tags=22%, list=8%, signal=20%	433182/13806/50873/98496/19017/11545	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0120316	sperm flagellum assembly	47	0.837638221741274	1.30300171634909	0.0134324876020167	0.773543501717301	0.76825943022703	1325	tags=13%, list=6%, signal=12%	213402/212517/75216/241516/14626/320244	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0051969	regulation of transmission of nerve impulse	27	0.872946562895176	1.30284421628232	0.0128259659512625	0.773543501717301	0.76825943022703	1159	tags=22%, list=5%, signal=21%	108015/56508/14265/66797/21960/14167	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	47	0.837467033211388	1.30273542125597	0.0134324876020167	0.773543501717301	0.76825943022703	1043	tags=11%, list=5%, signal=10%	11514/319613/238377/50873/15251	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0010518	positive regulation of phospholipase activity	45	0.839537064462225	1.30271192485288	0.0112651551096278	0.773543501717301	0.76825943022703	1411	tags=11%, list=7%, signal=10%	11608/14182/17118/16007/50768	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0055002	striated muscle cell development	75	0.815091437041012	1.30016708879611	0.00763348362581225	0.773543501717301	0.76825943022703	1938	tags=15%, list=9%, signal=13%	13405/17996/18760/22437/17260/68016/74103/225288/22138/17930/17868	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1903580	positive regulation of ATP metabolic process	18	0.906349530067474	1.29943738493724	0.00932793275915512	0.773543501717301	0.76825943022703	1301	tags=28%, list=6%, signal=26%	433182/13806/50873/98496/19017	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0021859	pyramidal neuron differentiation	16	0.915447773683871	1.2934921088959	0.00827611757064739	0.773543501717301	0.76825943022703	840	tags=19%, list=4%, signal=18%	328365/13193/70762	MeCP2 fold (median significant)	FALSE	TRUE	21098
GO:0032728	positive regulation of interferon-beta production	50	0.824582539746759	1.29246652400792	0.0120291477703925	0.773543501717301	0.76825943022703	855	tags=12%, list=4%, signal=12%	66412/21898/215243/56490/19247/110957	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0007406	negative regulation of neuroblast proliferation	16	0.914277776885035	1.29183894891208	0.00925552894287873	0.773543501717301	0.76825943022703	875	tags=19%, list=4%, signal=18%	18508/12064/19242	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	23	0.878799443258557	1.290985454999	0.0131690528108348	0.773543501717301	0.76825943022703	253	tags=9%, list=1%, signal=9%	107515/11608	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:2001171	positive regulation of ATP biosynthetic process	17	0.906981970086963	1.29071470028963	0.0119878244106307	0.773543501717301	0.76825943022703	1301	tags=29%, list=6%, signal=28%	433182/13806/50873/98496/19017	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0046785	microtubule polymerization	82	0.807141948604263	1.28777184705845	0.00909263402424729	0.773543501717301	0.76825943022703	1511	tags=10%, list=7%, signal=9%	20393/20257/20617/219103/260315/17755/214444/14168	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0032530	regulation of microvillus organization	15	0.916413396784614	1.28340443264374	0.0101822766872422	0.773543501717301	0.76825943022703	84	tags=7%, list=0%, signal=7%	54670	MeCP2 fold (median significant)	FALSE	FALSE	21098
