"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant"
"4930564C03Rik",-0.683027115061592,0.007765421,1,2,TRUE,-0.053586363,0.71527772,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4930567H12Rik",0.0963753502694815,0.543725908,0,3,FALSE,0.195376212461995,0.077627153,0,3,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930567K12Rik",2.47932070492266,1.38e-24,5,6,TRUE,1.16167064637111,2.96e-28,6,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930567K20Rik",0.745356391864025,0.008100275,1,2,TRUE,1.01553607721939,2.18e-20,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930572O13Rik",-0.0322803163605598,0.641382306,0,4,FALSE,0.131432382928283,0.209282942,0,3,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"4930578I06Rik",0.009733155,0.978120002,0,1,FALSE,0.0329439819649082,0.76770242,0,2,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930579P08Rik",0.0686343288222053,0.731343371,0,2,FALSE,0.521057788106054,1.99e-05,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930583P06Rik",1.39189856572309,1.72e-06,4,7,TRUE,0.855215835560029,6.43e-30,11,12,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930584F24Rik",0.718893381,0.010945678,1,1,TRUE,0.78717871,1.55e-16,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930592C13Rik",1.19630880097108,7.42e-06,2,5,TRUE,0.863576369347485,2e-13,4,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930593A02Rik",1.66717843884159,1.82e-13,1,2,TRUE,1.06286139947395,2.34e-35,5,7,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930594M22Rik",-0.009489604,0.978768946,0,1,FALSE,0.880425594,3.33e-17,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"4930596I21Rik",0.001692677,0.996436091,0,1,FALSE,0.308933063,0.015757132,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4931429L15Rik",0.61278276516478,0.003923495,1,8,TRUE,0.220666039,0.173418918,0,1,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4931429P17Rik",-0.128997556327181,0.468260264,0,2,FALSE,-0.24126475,0.130000804,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4932412D23Rik",0.440028297807624,0.054796829,0,4,FALSE,0.658408098800354,6.72e-13,5,5,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4932415M13Rik",-0.024205631,0.935309402,0,1,FALSE,0.165230507,0.293184229,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
